config_id,buffer_pool_size,cache_size,log_file_size,thread_concurrency,query_cache_size,metric_pages_read,metric_pages_written,metric_cache_hits,metric_cache_misses,metric_lock_wait_time,performance_latency_99th_percentile
1,1609,429,499,20,498,41143,29961,14521,2040,2.4117959000255236,121.27912010964768
2,4328,1681,270,8,109,16164,27327,16670,3601,3.398706970607414,227.92592596792886
3,2734,1251,418,15,239,22042,18887,7520,3904,3.86674605775547,1114.8047009894012
4,4640,1364,291,27,222,24246,42527,14161,3522,1.779182585488062,417.7413516851804
5,3164,1805,71,8,284,24859,37507,16174,1091,3.81724431773667,1393.0678220986592
6,1437,508,115,8,732,34863,43470,11237,2700,4.05120976873058,504.4120585733254
7,8054,1870,362,10,291,44766,43783,8197,4792,2.7816223752368834,1518.602835421869
8,7137,1757,425,2,703,34403,30026,16593,3527,2.2698583923400677,329.7456912842723
9,5920,495,359,22,212,22570,48908,16926,2005,0.40641655811163224,1437.7449352955223
10,1741,1555,425,2,285,46349,41548,8394,4900,0.21957009238051267,1490.6669790377039
11,6214,835,330,24,11,48315,40043,5214,1621,2.6156229575389456,1411.3769385604492
12,6165,1501,488,2,573,25757,44290,16197,4379,0.6177406949439037,860.2544438321065
13,1043,1277,461,19,145,12398,21652,10632,2236,3.172015164523151,1476.746938418469
14,2343,1969,511,29,519,34450,16559,18999,2351,4.012114919830001,737.8705929968368
15,7874,204,380,20,552,48055,17684,17341,4100,3.290507977527451,1757.0319326708373
16,7992,110,223,16,95,47169,43747,9590,1698,2.0400486652107683,633.1442827536322
17,1977,701,305,4,835,39764,16580,19608,4949,4.592842030086855,1079.224459650939
18,283,1096,289,5,911,17948,23615,19389,4200,1.4972525509014272,1647.8164670792487
19,3789,1776,398,28,777,48878,40710,10319,1337,4.6656313954510304,1898.6762004882446
20,3980,360,64,24,1022,37136,15694,5348,2125,3.836266021331834,907.0859201465325
21,869,785,404,2,450,28516,43489,10422,3728,3.097052227879281,939.2017989277219
22,428,990,462,19,495,40486,36398,6108,1721,3.340532873711499,1489.6380414868902
23,842,490,412,3,141,34120,16464,10160,4080,1.417724333470806,387.84046914907236
24,2048,522,475,22,41,32513,35673,8172,4434,2.2871538865296674,1605.764270342751
25,5925,422,126,5,378,22517,47599,19080,1305,4.395127847873541,339.62351774259605
26,3726,1209,71,3,67,12950,44365,9566,4595,3.3256367450998767,923.0417292026913
27,5055,1954,307,16,102,49486,27809,14628,4082,3.5111633741954256,1340.9437514692331
28,6352,1153,118,12,744,10417,30431,5421,1432,1.836481329397974,1184.1947686381552
29,3138,1810,203,13,1006,35066,26214,15777,4689,2.732502184741162,1741.1621912037197
30,1655,1247,442,11,393,30432,48702,8608,2595,3.495153056956422,128.0279868197248
31,1816,2043,283,13,765,24733,20963,5203,2483,2.0756099601877813,1474.922229760877
32,4488,1950,401,6,765,19049,45450,9197,4284,0.9965669511302313,1177.8221240924825
33,4908,1193,366,17,252,48206,30848,6138,1295,4.032715966960164,499.11126601129735
34,5129,1748,390,10,798,31153,39067,13266,3931,1.7532962855675167,1840.2917269701934
35,7749,1140,75,26,1020,24464,23118,12642,3664,3.3099878744410134,671.7151773094588
36,3279,1645,234,23,956,18393,42485,9949,3191,0.2698534198444077,307.86151064239687
37,2443,939,285,8,859,33896,30434,16843,3921,3.057401633417502,1082.4414151519338
38,7028,512,85,2,201,13274,19861,10269,1163,4.807888657644938,1111.0977675259342
39,7391,369,500,5,332,19298,15399,16799,2040,3.604442524951527,216.14044095277038
40,1566,1073,339,28,675,40843,24746,11942,4753,3.9200204069317848,165.72791345786317
41,2927,757,426,13,757,12631,19617,11735,3195,1.1746665524262796,193.67450569193633
42,2697,570,64,23,701,42909,21623,17374,2100,0.30766219311187465,1770.7721315031008
43,2983,958,97,10,837,15552,22232,12180,3778,0.16403204310410446,665.0652949487084
44,2803,1862,463,19,859,38466,28733,17846,4674,0.21305109212701176,634.1837326900296
45,5392,1420,91,15,306,30029,38616,10982,1142,0.7177604060033509,1500.9038237415996
46,7903,400,492,6,80,34491,45991,16575,1222,4.710430245411618,498.3393318519472
47,4431,1209,119,12,657,21119,41113,8832,3761,0.6370609087914653,638.1317334435123
48,2348,1780,74,26,1017,16642,27852,15939,1908,3.896524961884321,1428.1869663539894
49,5869,1548,283,5,613,37493,16407,9553,3801,2.066620655084508,1096.369799106421
50,3979,1048,111,31,680,24879,18229,14314,2627,3.8518786788170174,346.70365263854535
51,3574,106,190,3,124,47305,18422,13946,2121,0.6405672920726779,429.6808380122889
52,2421,1400,123,23,634,35653,47073,16883,3768,2.6487533422790683,1590.7308357551992
53,5993,1131,431,28,288,25237,28576,12445,3541,0.7044645953989542,697.3196494275152
54,7504,853,270,3,548,33706,46467,14623,4545,2.247616225582439,401.2147912762786
55,1263,508,245,31,45,20229,29217,11851,3865,1.3380579242907522,789.1790744170773
56,346,353,221,23,698,49594,12061,7218,1895,2.8232489661211964,189.24028343737126
57,5699,346,141,16,504,44918,24036,9137,2269,2.73923335917452,129.1942805901826
58,7104,1656,280,15,228,15280,18465,15764,1285,0.3773168784188179,351.19079809175525
59,6102,2047,215,18,791,28281,36951,5580,3494,3.115214768981527,368.9223673137652
60,3021,1396,314,16,638,33117,12881,16603,1194,0.2910978561592469,1841.299571941622
61,268,182,298,22,180,40542,42651,9457,2231,0.7260334426347632,1558.1043476173793
62,3517,325,88,16,991,44426,12740,16297,2218,4.562507052015484,180.5545016876208
63,7598,1240,441,31,71,34903,14395,5445,4195,3.665706878368191,701.2598246557651
64,7989,1062,173,28,46,12632,15897,7896,2504,4.39235545384279,703.6726846082818
65,1299,1811,234,8,167,25289,39342,16749,1605,0.497298964296669,466.1122892287207
66,899,1795,399,7,140,31680,35923,11039,2872,4.011987925622818,1843.176860437987
67,4658,1206,341,1,38,48808,29670,17715,1423,1.6928197424656068,965.3602707204723
